learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
1e-06,adam,32,0.001,500,10,0.9608702898025512,1.3401132206982218,9
1e-06,adam,32,0.001,1000,10,0.9630050957202912,1.3451984538829695,9
1e-06,adam,32,0.001,500,15,0.9581044673919678,1.336617253350199,9
1e-06,adam,32,0.001,1000,15,0.9624004244804384,1.3427507277909152,9
1e-06,adam,32,0.1,500,10,0.9623307585716248,3.492194368155124,9
1e-06,adam,32,0.1,1000,10,0.968970787525177,3.499387346870346,9
1e-06,adam,32,0.1,500,15,0.9605728447437286,3.475935907367813,9
1e-06,adam,32,0.1,1000,15,0.9632537007331848,3.503006434071801,9
1e-06,adam,64,0.001,500,10,0.960752671957016,1.3485457428842542,9
1e-06,adam,64,0.001,1000,10,0.963139945268631,1.3520859735440582,9
1e-06,adam,64,0.001,500,15,0.9558955669403076,1.341733155271507,9
1e-06,adam,64,0.001,1000,15,0.9601225912570952,1.3469002059737545,9
1e-06,adam,64,0.1,500,10,0.9605235576629638,3.775586778623781,9
1e-06,adam,64,0.1,1000,10,0.9671701669692994,3.7860733165302136,9
1e-06,adam,64,0.1,500,15,0.9599295437335968,3.749001916941359,9
1e-06,adam,64,0.1,1000,15,0.963839989900589,3.774948670499347,9
1e-06,RMSprop,32,0.001,500,10,0.9603778958320618,1.340755617229894,9
1e-06,RMSprop,32,0.001,1000,10,0.9636420607566832,1.3446986819544142,9
1e-06,RMSprop,32,0.001,500,15,0.958210289478302,1.3367175184162827,9
1e-06,RMSprop,32,0.001,1000,15,0.9618083238601683,1.3422344754650444,9
1e-06,RMSprop,32,0.1,500,10,0.9623877227306366,3.4879090728938373,9
1e-06,RMSprop,32,0.1,1000,10,0.9682539463043212,3.5068146167724192,9
1e-06,RMSprop,32,0.1,500,15,0.9591045558452608,3.467036578420885,9
1e-06,RMSprop,32,0.1,1000,15,0.9633255302906036,3.5015598499674474,9
1e-06,RMSprop,64,0.001,500,10,0.9596713066101076,1.3465589794255444,9
1e-06,RMSprop,64,0.001,1000,10,0.9614339411258698,1.34953954491159,9
1e-06,RMSprop,64,0.001,500,15,0.9569534480571746,1.3415886285646832,9
1e-06,RMSprop,64,0.001,1000,15,0.9627640962600708,1.3510538897210198,9
1e-06,RMSprop,64,0.1,500,10,0.9635707318782808,3.769684018216711,9
1e-06,RMSprop,64,0.1,1000,10,0.9639903008937836,3.779673186105951,9
1e-06,RMSprop,64,0.1,500,15,0.9580479621887208,3.744749067733611,9
1e-06,RMSprop,64,0.1,1000,15,0.9635519921779632,3.7770973543361706,9
0.001,adam,32,0.001,500,10,0.6108374953269958,0.7768768173343826,9
0.001,adam,32,0.001,1000,10,0.611880087852478,0.7786422006443641,9
0.001,adam,32,0.001,500,15,0.6088555872440338,0.775386523949374,9
0.001,adam,32,0.001,1000,15,0.6096709132194519,0.7765279044537058,9
0.001,adam,32,0.1,500,10,0.6266432106494904,0.806160295656335,9
0.001,adam,32,0.1,1000,10,0.6325223445892334,0.8187742469924605,9
0.001,adam,32,0.1,500,15,0.6248112678527832,0.8018605694918108,9
0.001,adam,32,0.1,1000,15,0.6262023270130157,0.8093714121146194,9
0.001,adam,64,0.001,500,10,0.6074009299278259,0.7744766113882148,9
0.001,adam,64,0.001,1000,10,0.6099080204963684,0.7780757084136818,9
0.001,adam,64,0.001,500,15,0.6024730980396271,0.7710611925914113,9
0.001,adam,64,0.001,1000,15,0.606436264514923,0.7748481755592779,9
0.001,adam,64,0.1,500,10,0.6210963129997253,0.7978285152323555,9
0.001,adam,64,0.1,1000,10,0.6266577482223511,0.809023476636056,9
0.001,adam,64,0.1,500,15,0.6196022808551789,0.7955478687162167,9
0.001,adam,64,0.1,1000,15,0.6213155627250672,0.7991101986430105,9
0.001,RMSprop,32,0.001,500,10,0.6073979258537292,0.7727073305407535,9
0.001,RMSprop,32,0.001,1000,10,0.612286388874054,0.7769164132813368,9
0.001,RMSprop,32,0.001,500,15,0.6049183666706085,0.7707944774285336,9
0.001,RMSprop,32,0.001,1000,15,0.6085220217704773,0.7737675126517357,9
0.001,RMSprop,32,0.1,500,10,0.6594898223876953,0.8365785974685869,9
0.001,RMSprop,32,0.1,1000,10,0.6575877845287323,0.8350585559197654,9
0.001,RMSprop,32,0.1,500,15,0.6597725629806519,0.836863124726121,9
0.001,RMSprop,32,0.1,1000,15,0.6591977596282959,0.8362934424288173,9
0.001,RMSprop,64,0.001,500,10,0.6056419789791108,0.7726097031199041,9
0.001,RMSprop,64,0.001,1000,10,0.6088484287261963,0.7745074760600741,9
0.001,RMSprop,64,0.001,500,15,0.6045667707920075,0.7711573272127444,9
0.001,RMSprop,64,0.001,1000,15,0.6065038681030274,0.7721987543401326,9
0.001,RMSprop,64,0.1,500,10,0.6600074529647827,0.8369495931803843,9
0.001,RMSprop,64,0.1,1000,10,0.6603672087192536,0.8363832835966112,9
0.001,RMSprop,64,0.1,500,15,0.6595652520656585,0.8369189445860648,9
0.001,RMSprop,64,0.1,1000,15,0.6588562369346619,0.8363600865991277,9
0.001,adam,64,0.001,500,15,0.6017425060272217,0.7687744834536682,-9
